Date,Open,High,Low,Close,Adj Close,Volume
2017-03-26,974.0150146484375,1007.9600219726562,954.1859741210938,966.7249755859375,966.7249755859375,303668000
2017-04-02,1080.6099853515625,1107.5899658203125,1075.449951171875,1102.1700439453125,1102.1700439453125,514187008
2017-04-09,1176.5699462890625,1197.2099609375,1171.8599853515625,1187.8699951171875,1187.8699951171875,242343008
2017-04-16,1172.6099853515625,1187.219970703125,1172.6099853515625,1182.93994140625,1182.93994140625,183231008
2017-04-23,1231.9200439453125,1232.199951171875,1203.93994140625,1207.2099609375,1207.2099609375,258951008
2017-04-30,1321.8699951171875,1347.9100341796875,1314.9200439453125,1347.8900146484375,1347.8900146484375,413115008
2017-05-07,1579.469970703125,1596.719970703125,1559.760009765625,1596.7099609375,1596.7099609375,1080029952
2017-05-14,1800.8599853515625,1831.4200439453125,1776.6199951171875,1808.9100341796875,1808.9100341796875,437196000
2017-05-21,2067.030029296875,2119.080078125,2037.5,2041.199951171875,2041.199951171875,1147859968
2017-05-28,2054.080078125,2267.340087890625,2054.080078125,2155.800048828125,2155.800048828125,1147139968
2017-06-04,2547.7900390625,2585.889892578125,2452.5400390625,2511.81005859375,2511.81005859375,1355120000
2017-06-11,2942.409912109375,2996.60009765625,2840.530029296875,2958.110107421875,2958.110107421875,1752400000
2017-06-18,2655.35009765625,2662.10009765625,2516.330078125,2548.2900390625,2548.2900390625,1178659968
2017-06-25,2607.25,2682.260009765625,2552.1201171875,2589.409912109375,2589.409912109375,1161100032
2017-07-02,2436.39990234375,2514.280029296875,2394.840087890625,2506.469970703125,2506.469970703125,803747008
2017-07-09,2572.610107421875,2635.489990234375,2517.590087890625,2518.43994140625,2518.43994140625,527856000
2017-07-16,1991.97998046875,2058.77001953125,1843.030029296875,1929.8199462890625,1929.8199462890625,1182870016
2017-07-23,2808.10009765625,2832.179931640625,2653.93994140625,2730.39990234375,2730.39990234375,1072840000
2017-07-30,2724.389892578125,2758.530029296875,2644.85009765625,2757.179931640625,2757.179931640625,705942976
2017-08-06,3257.610107421875,3293.2900390625,3155.60009765625,3213.93994140625,3213.93994140625,1105030016
2017-08-13,3880.0400390625,4208.39013671875,3857.800048828125,4073.260009765625,4073.260009765625,3159089920
2017-08-20,4189.31005859375,4196.2900390625,4069.8798828125,4087.659912109375,4087.659912109375,2109769984
2017-08-27,4345.10009765625,4416.58984375,4317.2900390625,4382.8798828125,4382.8798828125,1537459968
2017-09-03,4585.27001953125,4714.080078125,4417.58984375,4582.9599609375,4582.9599609375,1933190016
2017-09-10,4229.33984375,4245.43994140625,3951.0400390625,4122.93994140625,4122.93994140625,1679090048
2017-09-17,3606.280029296875,3664.81005859375,3445.639892578125,3582.8798828125,3582.8798828125,1239149952
2017-09-24,3796.14990234375,3796.14990234375,3666.89990234375,3682.840087890625,3682.840087890625,768014976
2017-10-01,4341.0498046875,4403.740234375,4269.81005859375,4403.740234375,4403.740234375,1208210048
2017-10-08,4429.669921875,4624.14013671875,4405.64013671875,4610.47998046875,4610.47998046875,1313869952
2017-10-15,5835.9599609375,5852.47998046875,5478.60986328125,5678.18994140625,5678.18994140625,1976039936
2017-10-22,6036.66015625,6076.259765625,5792.33984375,6008.419921875,6008.419921875,2034630016
